timestamp,actual_t,actual_h,pred_t,pred_h,error_t,error_h,status,inference_time_us,free_heap,total_heap
2026-02-25 12:52:34,24.23,25.6,12.83,37.81,11.406,12.214,SEND & TRAIN,370898,318640,346772
2026-02-25 12:53:34,24.18,25.59,14.07,36.19,10.111,10.6,SEND & TRAIN,164500,318640,346772
2026-02-25 12:54:35,24.09,25.72,15.87,33.86,8.226,8.14,SEND & TRAIN,1057674,318640,346772
2026-02-25 12:55:35,24.1,25.85,18.16,30.37,5.942,4.514,SEND & TRAIN,164702,318640,346772
2026-02-25 12:56:35,24.15,29.44,20.96,26.99,3.19,2.455,SEND & TRAIN,150868,318640,346772
2026-02-25 12:57:35,24.15,25.49,24.06,22.72,0.093,2.77,SKIP,87,318640,346772
2026-02-25 12:58:35,24.0,25.74,27.05,21.13,3.045,4.61,SEND & TRAIN,199176,318640,346772
2026-02-25 12:59:36,23.91,25.68,27.22,24.94,3.31,0.741,SEND & TRAIN,999217,318640,346772
2026-02-25 13:00:36,23.89,25.92,25.91,31.42,2.026,5.494,SEND & TRAIN,361429,318640,346772
2026-02-25 13:01:36,23.93,25.86,24.66,32.67,0.731,6.803,SEND & TRAIN,176738,318640,346772
2026-02-25 13:02:36,23.96,25.76,22.98,28.01,0.982,2.258,SEND & TRAIN,147577,318640,346772
2026-02-25 13:03:37,24.07,25.74,22.0,21.48,2.073,4.259,SEND & TRAIN,147321,318640,346772
2026-02-25 13:04:36,24.07,25.69,22.22,15.89,1.858,9.806,SEND & TRAIN,147827,318640,346772
2026-02-25 13:05:37,23.89,25.81,23.47,14.72,0.427,11.088,SEND & TRAIN,147916,318640,346772
2026-02-25 13:06:37,23.88,25.89,24.98,17.25,1.105,8.642,SEND & TRAIN,147166,318640,346772
2026-02-25 13:07:38,23.86,25.86,26.08,22.64,2.211,3.221,SEND & TRAIN,932185,318640,346772
2026-02-25 13:08:37,24.01,25.82,26.14,30.47,2.124,4.649,SEND & TRAIN,147545,318640,346772
2026-02-25 13:09:37,24.02,25.87,25.16,36.75,1.144,10.881,SEND & TRAIN,147998,318640,346772
2026-02-25 13:10:38,23.81,26.24,24.0,37.36,0.184,11.125,SEND & TRAIN,147888,318640,346772
