timestamp,actual_t,actual_h,pred_t,pred_h,error_t,error_h,status,inference_time_us,free_heap,total_heap
2026-02-25 12:51:34,24.33,27.59,12.04,38.13,12.295,10.543,SEND & TRAIN,137166,318640,346772
2026-02-25 12:52:34,24.38,27.48,12.82,38.06,11.561,10.587,SEND & TRAIN,373147,318640,346772
2026-02-25 12:53:34,24.35,27.26,14.06,36.66,10.295,9.402,SEND & TRAIN,183049,318640,346772
2026-02-25 12:54:35,24.31,27.44,15.92,34.64,8.387,7.207,SEND & TRAIN,1057679,318640,346772
2026-02-25 12:55:35,24.33,27.62,18.3,31.48,6.037,3.864,SEND & TRAIN,209370,318640,346772
2026-02-25 12:56:35,24.35,30.9,21.21,28.39,3.138,2.516,SEND & TRAIN,136402,318640,346772
2026-02-25 12:57:35,24.33,27.36,24.66,25.9,0.325,1.461,SKIP,87,318640,346772
2026-02-25 12:58:36,24.27,27.64,28.41,22.74,4.136,4.898,SEND & TRAIN,1047284,318640,346772
2026-02-25 12:59:36,24.22,27.5,30.53,22.36,6.312,5.14,SEND & TRAIN,155577,318640,346772
2026-02-25 13:00:37,24.22,27.7,28.65,28.5,4.43,0.801,SEND & TRAIN,1057054,318640,346772
2026-02-25 13:01:38,24.27,27.63,24.16,36.67,0.108,9.043,SEND & TRAIN,1057186,318640,346772
2026-02-25 13:02:38,24.29,27.49,21.04,36.6,3.255,9.11,SEND & TRAIN,147332,318640,346772
2026-02-25 13:03:38,24.33,27.59,20.99,26.11,3.337,1.483,SEND & TRAIN,147200,318640,346772
2026-02-25 13:04:38,24.34,27.51,22.18,16.48,2.164,11.035,SEND & TRAIN,147495,318640,346772
2026-02-25 13:05:38,24.17,27.59,22.89,15.67,1.284,11.917,SEND & TRAIN,147577,318640,346772
2026-02-25 13:06:39,24.16,27.67,23.4,18.47,0.763,9.199,SEND & TRAIN,147659,318640,346772
2026-02-25 13:07:40,24.18,27.61,24.68,22.63,0.502,4.975,SEND & TRAIN,1057515,318640,346772
2026-02-25 13:08:40,24.24,27.74,25.98,28.73,1.739,0.985,SEND & TRAIN,147709,318640,346772
